Material: Kapton , density =  1.420000 g/cm^3
Absorber is made of 4 elements
H 2% z =   1, a = 1.000000
C 69% z =   6, a = 12.000000
N 7% z =   7, a = 14.000000
O 20% z =   8, a = 16.000000
Z =   1, num = 114
   0.94   9.6100e-001   6.7150e-004        2.8230     0.0972   6.7947e-002  
   1.00   9.2140e-001   6.3460e-004        3.0885     0.1049   7.1866e-002  
   1.12   8.5180e-001   5.7250e-004        3.6522     0.1328   8.0216e-002  
   1.25   7.9250e-001   5.2190e-004        4.2614     0.1590   8.9247e-002  
   1.37   7.4140e-001   4.8000e-004        4.9132     0.1846   9.8946e-002  
   1.50   6.9690e-001   4.4460e-004        5.6076     0.2116   1.0930e-001  
   1.62   6.5780e-001   4.1440e-004        6.3460     0.2371   1.2029e-001  
   1.75   6.2310e-001   3.8810e-004        7.1256     0.2627   1.3192e-001  
   2.00   5.6430e-001   3.4490e-004        8.8111     0.3564   1.5762e-001  
   2.25   5.2160e-001   3.1080e-004       10.6528     0.4445   1.8460e-001  
   2.50   4.8100e-001   2.8300e-004       12.6479     0.5282   2.1442e-001  
   2.75   4.4760e-001   2.6010e-004       14.8021     0.6134   2.4566e-001  
   3.00   4.1900e-001   2.4070e-004       17.1096     0.6972   2.7974e-001  
   3.25   3.9420e-001   2.2410e-004       19.5690     0.7824   3.1524e-001  
   3.50   3.7250e-001   2.0980e-004       22.1761     0.8676   3.5358e-001  
   3.75   3.5330e-001   1.9730e-004       24.9309     0.9557   3.9476e-001  
   4.00   3.3610e-001   1.8620e-004       27.8320     1.0437   4.3594e-001  
   4.25   3.2070e-001   1.7640e-004       30.8751     1.1332   4.7996e-001  
   4.50   3.0680e-001   1.6760e-004       34.0615     1.2226   5.2682e-001  
   5.00   2.8260e-001   1.5250e-004       40.8506     1.5634   6.2338e-001  
   5.62   2.5760e-001   1.3730e-004       50.1132     2.0491   7.5686e-001  
   6.25   2.3710e-001   1.2490e-004       60.2250     2.5091   9.0028e-001  
   6.87   2.1980e-001   1.1460e-004       71.1704     2.9593   1.0551e+000  
   7.50   2.0510e-001   1.0600e-004       82.9394     3.4066   1.2212e+000  
   8.12   1.9240e-001   9.8610e-005       95.5163     3.8553   1.3973e+000  
   8.74   1.8130e-001   9.2240e-005      108.8941     4.3083   1.5847e+000  
   9.37   1.7160e-001   8.6680e-005      123.0600     4.7655   1.7807e+000  
   9.99   1.6290e-001   8.1770e-005      138.0070     5.2299   1.9880e+000  
  11.24   1.4810e-001   7.3510e-005      170.4000     6.9608   2.4339e+000  
  12.49   1.3600e-001   6.6830e-005      205.9000     8.5896   2.9181e+000  
  13.74   1.2590e-001   6.1300e-005      244.2400    10.1786   3.4407e+000  
  14.99   1.1730e-001   5.6660e-005      284.0000    11.7576   4.0016e+000  
  16.24   1.1000e-001   5.2690e-005      328.0200    13.3409   4.5994e+000  
  17.49   1.0350e-001   4.9260e-005      374.8800    14.9356   5.2341e+000  
  19.99   9.2870e-002   4.3630e-005      477.1200    20.8371   6.6087e+000  
  22.49   8.4390e-002   3.9200e-005      590.7200    26.3353   8.1238e+000  
  24.98   7.7460e-002   3.5610e-005      714.2600    31.7001   9.7739e+000  
  27.48   7.1690e-002   3.2650e-005      847.7400    37.0393   1.1555e+001  
  29.98   6.6810e-002   3.0160e-005      992.5800    42.4040   1.3466e+001  
  32.48   6.2620e-002   2.8030e-005     1147.3600    47.8199   1.5502e+001  
  34.98   5.8980e-002   2.6200e-005     1312.0800    53.3011   1.7661e+001  
  37.48   5.5790e-002   2.4600e-005     1485.3199    58.8547   1.9940e+001  
  39.97   5.2970e-002   2.3190e-005     1669.9200    64.4865   2.2338e+001  
  42.47   5.0450e-002   2.1940e-005     1863.0400    70.1977   2.4851e+001  
  44.97   4.8200e-002   2.0820e-005     2066.1001    75.9870   2.7480e+001  
  49.97   4.4320e-002   1.8900e-005     2499.2000    97.8678   3.3070e+001  
  56.21   4.0370e-002   1.6970e-005     3089.9199   129.0780   4.0665e+001  
  62.46   3.7160e-002   1.5400e-005     3734.5999   159.0400   4.8905e+001  
  68.71   3.4500e-002   1.4110e-005     4433.2397   187.4400   5.7767e+001  
